Date,Close
1/3/2023 16:00:00,89.12
1/4/2023 16:00:00,88.08
1/5/2023 16:00:00,86.2
1/6/2023 16:00:00,87.34
1/9/2023 16:00:00,88.02
1/10/2023 16:00:00,88.42
1/11/2023 16:00:00,91.52
1/12/2023 16:00:00,91.13
1/13/2023 16:00:00,92.12
1/17/2023 16:00:00,91.29
1/18/2023 16:00:00,91.12
1/19/2023 16:00:00,93.05
1/20/2023 16:00:00,98.02
1/23/2023 16:00:00,99.79
1/24/2023 16:00:00,97.7
1/25/2023 16:00:00,95.22
1/26/2023 16:00:00,97.52
1/27/2023 16:00:00,99.37
1/30/2023 16:00:00,96.94
1/31/2023 16:00:00,98.84
2/1/2023 16:00:00,100.43
2/2/2023 16:00:00,107.74
2/3/2023 16:00:00,104.78
2/6/2023 16:00:00,102.9
2/7/2023 16:00:00,107.64
2/8/2023 16:00:00,99.37
2/9/2023 16:00:00,95.01
2/10/2023 16:00:00,94.57
2/13/2023 16:00:00,94.61
2/14/2023 16:00:00,94.68
2/15/2023 16:00:00,96.94
2/16/2023 16:00:00,95.51
2/17/2023 16:00:00,94.35
2/21/2023 16:00:00,91.79
2/22/2023 16:00:00,91.65
2/23/2023 16:00:00,90.89
2/24/2023 16:00:00,89.13
2/27/2023 16:00:00,89.87
2/28/2023 16:00:00,90.06
3/1/2023 16:00:00,90.36
3/2/2023 16:00:00,92
3/3/2023 16:00:00,93.65
3/6/2023 16:00:00,95.13
3/7/2023 16:00:00,93.86
3/8/2023 16:00:00,94.25
3/9/2023 16:00:00,92.32
3/10/2023 16:00:00,90.63
3/13/2023 16:00:00,91.11
3/14/2023 16:00:00,93.97
3/15/2023 16:00:00,96.11
3/16/2023 16:00:00,100.32
3/17/2023 16:00:00,101.62
3/20/2023 16:00:00,101.22
3/21/2023 16:00:00,104.92
3/22/2023 16:00:00,103.37
3/23/2023 16:00:00,105.6
3/24/2023 16:00:00,105.44
3/27/2023 16:00:00,102.46
3/28/2023 16:00:00,101.03
3/29/2023 16:00:00,101.39
3/30/2023 16:00:00,100.89
3/31/2023 16:00:00,103.73
4/3/2023 16:00:00,104.36
4/4/2023 16:00:00,104.72
4/5/2023 16:00:00,104.47
4/6/2023 16:00:00,108.42
4/10/2023 16:00:00,106.44
4/11/2023 16:00:00,105.35
4/12/2023 16:00:00,104.64
4/13/2023 16:00:00,107.43
4/14/2023 16:00:00,108.87
4/17/2023 16:00:00,105.97
4/18/2023 16:00:00,104.5
4/19/2023 16:00:00,104.18
4/20/2023 16:00:00,105.29
4/21/2023 16:00:00,105.41
4/24/2023 16:00:00,105.97
4/25/2023 16:00:00,103.85
4/26/2023 16:00:00,103.71
4/27/2023 16:00:00,107.59
4/28/2023 16:00:00,107.34
5/1/2023 16:00:00,107.2
5/2/2023 16:00:00,105.32
5/3/2023 16:00:00,105.41
5/4/2023 16:00:00,104.69
5/5/2023 16:00:00,105.57
5/8/2023 16:00:00,107.77
5/9/2023 16:00:00,107.35
5/10/2023 16:00:00,111.75
5/11/2023 16:00:00,116.57
5/12/2023 16:00:00,117.51
5/15/2023 16:00:00,116.51
5/16/2023 16:00:00,119.51
5/17/2023 16:00:00,120.84
5/18/2023 16:00:00,122.83
5/19/2023 16:00:00,122.76
5/22/2023 16:00:00,125.05
5/23/2023 16:00:00,122.56
5/24/2023 16:00:00,120.9
5/25/2023 16:00:00,123.48
5/26/2023 16:00:00,124.61
5/30/2023 16:00:00,123.67
5/31/2023 16:00:00,122.87
6/1/2023 16:00:00,123.72
6/2/2023 16:00:00,124.67
6/5/2023 16:00:00,126.01
6/6/2023 16:00:00,127.31
6/7/2023 16:00:00,122.5
6/8/2023 16:00:00,122.14
6/9/2023 16:00:00,122.23
6/12/2023 16:00:00,123.64
6/13/2023 16:00:00,123.83
6/14/2023 16:00:00,123.67
6/15/2023 16:00:00,125.09
6/16/2023 16:00:00,123.53
6/20/2023 16:00:00,123.1
6/21/2023 16:00:00,120.55
6/22/2023 16:00:00,123.15
6/23/2023 16:00:00,122.34
6/26/2023 16:00:00,118.34
6/27/2023 16:00:00,118.33
6/28/2023 16:00:00,120.18
6/29/2023 16:00:00,119.1
